mean,std
39.509194,15.11631768
2.751719204,1.348435165
3.095485221,1.538921194
2.76163933,1.407922287
2.960063215,1.286156108
3.239631386,1.321151872
3.316675209,1.356458912
3.501099863,1.315386287
3.472770374,1.264418649
3.394626687,1.304881321
3.707521784,1.171175144
3.640269947,0.983246278
3.732391509,1.161311323
3.340669315,1.302097832
3.48605416,6.732794828
0.467762259,0.49896231
0.492236887,0.4999424
0.183730566,0.387266376
0.318981719,0.466084436
0.438461046,0.496201155
0.068543909,0.2526783
